Nr;ImageId;Width;Height;Ratio[W/H]
58;"http%3A%2F%2Frdfh.ch%2F0804%2F-CYTUB6QSmGRT_X7xNrpCw";6647;4602;1.4443720121686223
59;"http%3A%2F%2Frdfh.ch%2F0804%2F-CjjclDESpqRHVxnSb57rQ";4000;6000;0.6666666666666666
60;"http%3A%2F%2Frdfh.ch%2F0804%2F-D02Nu6zRZyOXNOjqWgkMw";5204;3359;1.5492706162548378
61;"http%3A%2F%2Frdfh.ch%2F0804%2F-DKqSTu0QoOnXL3atDiXHQ";5746;4572;1.2567804024496938
62;"http%3A%2F%2Frdfh.ch%2F0804%2F-Ddvi1wfRLSgr7CnKczMjA";6893;4800;1.4360416666666667
63;"http%3A%2F%2Frdfh.ch%2F0804%2F-E8sw06KSpaNYMse_sPRIw";2813;4144;0.6788127413127413
64;"http%3A%2F%2Frdfh.ch%2F0804%2F-EiySJ8NTpeRUzOTV4Fagw";2585;3560;0.726123595505618
65;"http%3A%2F%2Frdfh.ch%2F0804%2F-F2G4QptT8SZnjcooUrxeg";3094;1920;1.6114583333333334
66;"http%3A%2F%2Frdfh.ch%2F0804%2F-FQVbPVoTba9Ok6HvrVeJg";3504;2336;1.5
67;"http%3A%2F%2Frdfh.ch%2F0804%2F-F_ppQFLRwWd5lnmvo8MHA";5636;5656;0.9964639321074965
68;"http%3A%2F%2Frdfh.ch%2F0804%2F-Fha8V5ZQR6ZO2LwirnnYw";5056;3819;1.3239067818800734
69;"http%3A%2F%2Frdfh.ch%2F0804%2F-FiCwZz_QlCPAh1BBROu2g";2338;1586;1.4741488020176545
70;"http%3A%2F%2Frdfh.ch%2F0804%2F-Fj3paLsRYOeqqP3El1p-w";4241;3235;1.3109737248840803
71;"http%3A%2F%2Frdfh.ch%2F0804%2F-G6E42W2TPGPKa-EstAIWw";2100;1400;1.5
72;"http%3A%2F%2Frdfh.ch%2F0804%2F-GCktzjaSaycWuzANH1YBw";5942;4259;1.3951631838459733
73;"http%3A%2F%2Frdfh.ch%2F0804%2F-GUOWvFiT0W3xHh9QykBDA";4366;3053;1.4300687848018343
